wave_uid,operation,operation_label,operation_short,wave_number,wave_label,narrative,popup_summary,icon_type,timestamp_utc,timestamp_epoch,conflict_day,payload,drones_used,ballistic_missiles_used,cruise_missiles_used,estimated_munitions_count,cluster_munitions,israel_targeted,us_bases_targeted,landing_countries_iso,landing_countries,targets_description,interception_rate,intercepted_count,fatalities,injuries,damage,launch_site_description,launch_lat,launch_lon,launch_generic,target_lat,target_lon,target_generic,target_iaf_base,target_us_base,target_naval_base,target_naval_vessel,target_government_c2,target_military_industrial,target_intelligence,target_civilian_infrastructure,target_civilian_area,target_diplomatic
tp1_w01,tp1,True Promise 1 (Apr 2024),TP1,1,TP1 Wave 1 — Drone/Cruise Missile Wave,"The first wave of Iran's inaugural direct attack on Israel. Launched on the night of 13 April 2024, this wave comprised a large combined salvo of Shahed-136 drones, ballistic missiles, and cruise missiles targeting Nevatim Airbase and sites across the Negev desert and Israeli-occupied Golan Heights. The attack was widely telegraphed in advance, giving Israel, the US, UK, France, and Jordan time to coordinate a multilayered defensive response. The overwhelming majority of munitions were intercepted.",Time: 2024-04-13T19:00:00Z | Payload: 170 Shahed-136 loitering munitions and 30 Paveh cruise missiles | Munitions: 200 | Intercept rate: 0.99 | Damage: Minimal — most munitions intercepted before reaching Israeli airspace,launch,2024-04-13T19:00:00Z,1713034800000,1,170 Shahed-136 loitering munitions and 30 Paveh cruise missiles,True,False,True,200,False,True,False,IL,Israel,"Nevatim Airbase, sites in Negev desert and Israeli-occupied Golan Heights",0.99,,0,0,Minimal — most munitions intercepted before reaching Israeli airspace,Multiple sites across Iran; Shahed drones also launched from Iraq and Yemen by proxies,33.0,52.0,False,30.89,34.78,False,True,False,False,False,False,False,False,False,False,False
tp1_w02,tp1,True Promise 1 (Apr 2024),TP1,2,TP1 Wave 2 — Ballistic Missile Wave,"The second and final wave of True Promise 1, continuing the bombardment of Nevatim Airbase and the Ramon Airbase area in the Negev. This wave followed the initial drone/missile salvo by several hours, with ballistic missiles arriving after the slower drones. Minor damage was reported at Nevatim. The combined two-wave attack involved approximately 320 munitions — the largest single aerial assault in the region's history at the time. Israel's multi-tier defense (Arrow, David's Sling, Iron Dome) achieved a near-total interception rate with coalition support.","Time: 2024-04-13T23:00:00Z | Payload: 120 ballistic missiles including Emad, Ghadr (Ghadr-S/H/F variants), Kheibar Shekan, possibly Shahab-3B | Munitions: 120 | Intercept rate: 0.99 | Casualties: 0 killed, 32 wounded | Damage: Minor damage to Nevatim Airbase (base remained operational); debris fell in Arad region",launch,2024-04-13T23:00:00Z,1713049200000,1,"120 ballistic missiles including Emad, Ghadr (Ghadr-S/H/F variants), Kheibar Shekan, possibly Shahab-3B",False,True,False,120,False,True,False,IL,Israel,"Nevatim Airbase (primary), Ramon Airbase area, sites in Negev desert and Golan Heights",0.99,,0,32,Minor damage to Nevatim Airbase (base remained operational); debris fell in Arad region,IRGC Aerospace Force launch sites in western and central Iran,33.5,50.0,False,30.89,34.78,False,True,False,False,False,False,False,False,False,False,False
tp2_w01,tp2,True Promise 2 (Oct 2024),TP2,1,TP2 Wave 1 — First Ballistic Salvo,"True Promise 2 opened with a ballistic-missile-only salvo on 1 October 2024, a significant tactical shift from TP1's mixed drone/missile approach. Approximately 180–200 Emad and Ghadr ballistic missiles targeted Nevatim, Tel Nof, and Hatzerim airbases. The absence of slow-moving drones meant defenders had far less warning time. Some missiles penetrated Israeli defenses, impacting near Nevatim.","Time: 2024-10-01T16:30:00Z | Payload: Emad, Ghadr-H, Ghadr-F, Kheibar Shekan ballistic missiles | Munitions: 100 | Casualties: 1 killed, 4 wounded | Damage: Nevatim Airbase: hangar and taxiway damaged (20-32 impacts confirmed by satellite); Tel Nof Airbase: several impacts; Ge...",launch,2024-10-01T16:30:00Z,1727800200000,1,"Emad, Ghadr-H, Ghadr-F, Kheibar Shekan ballistic missiles",False,True,False,100,False,True,False,"IL, JO, PS","Israel, Jordan, Palestine","Nevatim Airbase (primary), Tel Nof Airbase, Hatzerim Airbase",,,1,4,Nevatim Airbase: hangar and taxiway damaged (20-32 impacts confirmed by satellite); Tel Nof Airbase: several impacts; Gedera: school building hit,IRGC Aerospace Force launch sites in western Iran,33.5,50.0,False,30.89,34.78,False,True,False,False,False,False,False,False,False,False,False
tp2_w02,tp2,True Promise 2 (Oct 2024),TP2,2,TP2 Wave 2 — Second Ballistic Salvo (Fattah-1),"The second wave of TP2 targeted the Mossad/Unit 8200 headquarters complex at Glilot north of Tel Aviv, marking the first Iranian strike aimed at Israeli intelligence infrastructure. Nevatim and Tel Nof airbases were also targeted again. Two fatalities were reported — the first confirmed deaths from a direct Iranian strike on Israel. The all-ballistic approach of TP2 demonstrated Iran's evolving understanding that fast-moving missiles were more effective at penetrating Israeli defenses than the mixed salvos of TP1.","Time: 2024-10-01T16:45:00Z | Payload: Fattah-1 hypersonic missiles, Emad, Kheibar Shekan ballistic missiles | Munitions: 100 | Casualties: 1 killed, 4 wounded | Damage: Missiles landed near Mossad/Unit 8200 HQ (~500m); homes and restaurant damaged in north Tel Aviv area; additional impact...",launch,2024-10-01T16:45:00Z,1727801100000,1,"Fattah-1 hypersonic missiles, Emad, Kheibar Shekan ballistic missiles",False,True,False,100,False,True,False,"IL, JO, PS","Israel, Jordan, Palestine","Mossad/Unit 8200 HQ at Glilot (north Tel Aviv), Nevatim Airbase, Tel Nof Airbase",,,1,4,Missiles landed near Mossad/Unit 8200 HQ (~500m); homes and restaurant damaged in north Tel Aviv area; additional impacts at Nevatim and Tel Nof,IRGC Aerospace Force launch sites in western Iran,33.5,50.0,False,32.15,34.79,False,True,False,False,False,True,False,True,False,False,False
tp3_w01,tp3,True Promise 3 (Jun 2025),TP3,1,"TP3 Wave 1 — ~100 ballistic missiles, drones","The opening salvo of the Twelve-Day War. Launched on 13 June 2025, this wave targeted military centres and air bases across Israel with ballistic missiles. It marked the beginning of Iran's most sustained aerial campaign to date, which would continue for 22 waves over 12 days.","Time: 2025-06-13T18:30:00Z | Payload: ~100 ballistic missiles, drones | Munitions: 100 | Damage: Serious damage to sensitive military centers in Tel Aviv area",launch,2025-06-13T18:30:00Z,1749839400000,1,"~100 ballistic missiles, drones",True,True,False,100,False,True,False,IL,Israel,"Military centers, air bases",,,,,Serious damage to sensitive military centers in Tel Aviv area,Western Iran,34.31,47.07,True,31.66,34.78,True,True,False,False,False,False,False,False,False,False,False
tp3_w02,tp3,True Promise 3 (Jun 2025),TP3,2,"TP3 Wave 2 — Ballistic missiles, drones","The second wave shifted targeting to Haifa and the Galilee region in northern Israel, expanding the geographic scope beyond the southern airbases that dominated TP1 and TP2. Ballistic missiles were used alongside drone swarms for the first time in TP3.","Time: 2025-06-13T19:30:00Z | Payload: Ballistic missiles, drones | Damage: State of emergency declared across Israel",launch,2025-06-13T19:30:00Z,1749843000000,1,"Ballistic missiles, drones",True,True,False,,False,True,False,IL,Israel,"Haifa, Galilee",,,,,State of emergency declared across Israel,Western Iran,34.31,47.07,True,32.835,35.25,True,False,False,False,False,False,False,False,False,False,False
tp3_w03,tp3,True Promise 3 (Jun 2025),TP3,3,TP3 Wave 3 — Ya Ali ibn Abi Talib,A significant wave that Iran claimed penetrated multiple Israeli defense layers and struck targets in the occupied territories. This represented an escalation in Iranian rhetoric about the effectiveness of their strikes.,Time: 2025-06-14T15:00:00Z | Payload: Dozens of missiles and drones,launch,2025-06-14T15:00:00Z,1749913200000,2,Dozens of missiles and drones,True,True,False,,False,True,False,IL,Israel,Occupied territories — penetrated multiple defense layers,,,,,,Western Iran,34.31,47.07,True,32.07,34.77,True,False,False,False,False,False,False,False,False,False,False
tp3_w04,tp3,True Promise 3 (Jun 2025),TP3,4,TP3 Wave 4 — Ballistic missiles,"A multi-city bombardment targeting both Tel Aviv and Haifa simultaneously, forcing Israel to defend across a wide geographic front. This dual-axis approach became a hallmark of TP3's middle waves.",Time: 2025-06-14T19:00:00Z | Payload: Ballistic missiles | Damage: Continued escalation — strikes on urban areas,launch,2025-06-14T19:00:00Z,1749927600000,2,Ballistic missiles,False,True,False,,False,True,False,IL,Israel,"Tel Aviv, Haifa, other cities",,,,,Continued escalation — strikes on urban areas,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,False,False,False,True,False
tp3_w05,tp3,True Promise 3 (Jun 2025),TP3,5,TP3 Wave 5 — Ballistic missiles,This wave marked the first targeting of critical civilian infrastructure — specifically the Haifa oil refinery — alongside military targets. The expansion to economic infrastructure signalled an escalation in Iranian targeting doctrine.,Time: 2025-06-15T05:00:00Z | Payload: Ballistic missiles | Damage: Haifa oil refinery directly hit and shut down,launch,2025-06-15T05:00:00Z,1749963600000,3,Ballistic missiles,False,True,False,,False,True,False,IL,Israel,"Haifa oil refinery, military targets",,,,,Haifa oil refinery directly hit and shut down,Western Iran,34.31,47.07,True,32.82,35.0,True,False,False,False,False,False,False,False,True,False,False
tp3_w06,tp3,True Promise 3 (Jun 2025),TP3,6,TP3 Wave 6 — Missiles,"A wave targeting Israeli command and control centres in Haifa and Tel Aviv. Bat Yam, south of Tel Aviv, was struck — one of the first confirmed impacts in a densely populated residential area during TP3.","Time: 2025-06-15T15:00:00Z | Payload: Missiles | Casualties: 9 killed, 200 wounded | Damage: Bat Yam residential building struck — 9 killed (incl. 5 Ukrainian nationals), 200+ injured, 61 buildings damaged. Worst ...",launch,2025-06-15T15:00:00Z,1749999600000,3,Missiles,False,True,False,,False,True,False,IL,Israel,"Israeli C2 centers, Haifa, Tel Aviv; Bat Yam struck",,,9,200,"Bat Yam residential building struck — 9 killed (incl. 5 Ukrainian nationals), 200+ injured, 61 buildings damaged. Worst single incident of the war.",Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,True,False,False,False,True,False
